source_url	title	author	book_journal	pub_date	pub_place	publisher	enumcron	pages_orig	pages_digital	new digital range	page_count	added	updated	item_type	source_id		side notes (poetry, couldn't find article, item unavailable, original pages differentiate)
https://hdl.handle.net/2027/hvd.32044090278565	Abbot Ælfric's rhythmic prose.	Gerould, Gordon Hall, 1877-	MP	1925	[Chicago	University of Chicago Press		353-366	5-18	correct	14	2022-01-25 15:02:04	2022-01-25 15:04:16	Article	hvd.32044090278565		
https://hdl.handle.net/2027/nyp.33433081683744	About Rhyme	Benton, Joel	Lippincott's monthly magazine.	1889	Philadelphia, Pa.	J.B. Lippincott Co.	v. 43 (Jan.-June 1889)	901-4	929-932	955-958	4	2018-01-23 15:04:23	2021-08-05 09:52:05	Article	nyp.33433081683744		
https://hdl.handle.net/2027/uc1.b3924132	Accent a Guiding Principle, not Merely of the Old Comic Metres, but Generally of Latin Poetry; and First of Virgil's Hexameters	Key, T. Hewitt	Transactions of the Philological Society	1874	Oxford [etc.]	Society by B. Blackwell	1873/74	35-52	45-62	correct	18	2018-01-23 15:09:51	2021-08-05 09:52:08	Article	uc1.b3924132		
https://hdl.handle.net/2027/mdp.39015026482151	Accent and Ictus in the Latin Elegiac Distich	Sturtevant, E. H.	Transactions and proceedings of the American Philological Association	1924	Cleveland, etc.	Association by the Press of Case Western Reserve University [etc.]	v.55	73-89	81-97	correct	17	2021-08-05 09:52:15	2021-08-05 09:52:15	Article	mdp.39015026482151		
https://hdl.handle.net/2027/uiug.30112106245936	Accent Collation of Caedmon's Genesis B	Stoddard, Francis H.	Modern language notes.	1886	Baltimore	Johns Hopkins Press [etc.]	v.2(1886)	165-73	93-97	correct	5	2018-01-23 15:15:13	2021-08-05 09:52:12	Article	uiug.30112106245936		
https://hdl.handle.net/2027/hvd.32044009576562	Accentual Rhythm in Latin	Greenough, J. B	Harvard studies in classical philology	1893	Cambridge, Mass. [etc.]	Harvard University Press [etc.]	v.4 (1893)	105-15	117-127	correct	11	2018-01-23 14:44:13	2023-04-25 14:35:17	Article	hvd.32044009576562		
https://hdl.handle.net/2027/nyp.33433067294433	Additional Note	Herbert, William (Dean of Manchester)	Works ... 	1842	London		v. 2	151-58	161-168	correct	8	2021-08-05 09:54:27	2021-08-05 09:54:27	Excerpt	nyp.33433067294433		
https://hdl.handle.net/2027/coo.31924065856167	Additional Observations [on "English Metre"]	Ellis, Alexander J.	Transactions of the Philological Society	1876	Oxford [etc.]	Society by B. Blackwell	1875-1876	456-469	466-479	correct	14	2021-08-05 09:51:21	2021-08-05 09:51:21	Article	coo.31924065856167		
https://hdl.handle.net/2027/uc1.ax0002627784	The Advancement and Reformation of Modern Poetry	Dennis, John, 1657-1734	Miscellaneous tracts	1727	London	author		1-199	26-224	correct	199	2022-01-05 14:06:36	2022-01-05 14:11:10	Excerpt	uc1.ax0002627784		
https://hdl.handle.net/2027/wu.89001946482	The Aeneid of Virgil	Calverley, C. S.	Literary remains of Charles Stuart Calverley : 	1885	London 	G. Bell		186-192	206-212	correct	7	2021-08-05 09:54:32	2023-03-02 13:49:51	Excerpt	wu.89001946482		
