htid	version_label
hvd.32044090278565	2022-12-04 12:12 UTC
nyp.33433081683744	2022-11-10 15:09 UTC
uc1.b3924132	2022-06-16 11:33 UTC
mdp.39015026482151	2023-07-22 18:55 UTC
uiug.30112106245936	2024-02-28 15:57 UTC
hvd.32044009576562	2023-10-07 22:52 UTC
nyp.33433067294433	2023-05-14 08:02 UTC
coo.31924065856167	2024-02-18 07:26 UTC
uc1.ax0002627784	2023-10-27 18:39 UTC
wu.89001946482	2023-07-21 14:01 UTC
uc1.b3311895	2023-05-24 06:50 UTC
hvd.32044048963128	2023-10-08 22:39 UTC
njp.32101076199213	2022-05-17 22:07 UTC
coo.31924051399685	2023-08-01 22:52 UTC
njp.32101076472800	2023-04-21 11:37 UTC
njp.32101076472859	2022-05-18 00:07 UTC
nyp.33433074380688	2023-07-08 15:15 UTC
hvd.32044019842491	2023-03-22 10:56 UTC
uc1.32106001559381	2022-07-11 01:01 UTC
mdp.39015024071642	2023-06-27 17:47 UTC
hvd.hx28d7	2023-03-01 03:52 UTC
uva.x002111617	2022-11-11 10:19 UTC
uc1.$b161790	2022-10-17 00:45 UTC
uc1.$b683534	2023-05-04 12:10 UTC
nyp.33433076066723	2022-10-02 13:14 UTC
miun.ajd7522.0001.001	2012-07-26 23:46 UTC
hvd.hxv9b7	2023-01-01 14:29 UTC
coo.31924065856167	2024-02-18 07:26 UTC
uc1.$b275098	2022-09-12 12:04 UTC
nyp.33433081676979	2024-03-01 09:07 UTC
coo.31924066177589	2023-10-03 14:18 UTC
hvd.32044011432754	2023-01-14 16:05 UTC
njp.32101076384609	2023-04-21 10:48 UTC
pst.000020068974	2023-08-10 06:15 UTC
mdp.39015087700681	2021-02-17 20:42 UTC
njp.32101076403078	2022-05-17 23:09 UTC
njp.32101075673655	2023-06-02 07:36 UTC
udel.31741113248746	2016-07-08 20:19 UTC
hvd.hn34f5	2022-12-05 08:54 UTC
inu.30000066028642	2019-05-02 19:27 UTC
uc1.b3794203	2023-05-31 10:25 UTC
uc1.b3794204	2022-06-03 23:44 UTC
inu.30000099671491	2022-12-16 15:44 UTC
hvd.hnqbsu	2023-03-19 17:15 UTC
mdp.39015020696541	2023-07-05 07:31 UTC
njp.32101075672541	2023-04-21 04:15 UTC
mdp.39015060441675	2023-04-15 03:09 UTC
hvd.32044031554363	2022-12-17 13:26 UTC
hvd.32044048963185	2023-10-08 22:38 UTC
njp.32101076403300	2022-10-25 02:18 UTC
coo.31924057525382	2024-02-10 13:52 UTC
coo.31924065580551	2023-09-11 05:00 UTC
mdp.39015008833884	2023-07-25 00:32 UTC
njp.32101010945275	2023-04-20 07:48 UTC
njp.32101076201159	2024-03-19 13:08 UTC
inu.30000099671632	2023-05-30 09:46 UTC
yale.39002004065844	2011-06-01 03:25 UTC
hvd.32044098627870	2022-12-29 10:25 UTC
inu.30000092253941	2022-12-20 16:29 UTC
mdp.39015060429308	2023-04-15 03:56 UTC
